tiempo,angulosBalanceo
0,0.364484625749793
0.0144824562161989,0.36446713615577
0.0289649124323978,0.36434471011424
0.0434473686485966,0.364012420690213
0.0579298248647955,0.363365371812609
0.0724122810809944,0.362298733018067
0.0868947372971933,0.36070778589471
0.101377193513392,0.35848797899569
0.115859649729591,0.355535003510218
0.13034210594579,0.351768002804552
0.144824562161989,0.347175213565273
0.159307018378188,0.341757706502702
0.173789474594387,0.335516576502226
0.188271930810585,0.328452862482094
0.202754387026784,0.320567457437165
0.217236843242983,0.311861009444219
0.231719299459182,0.302333814359022
0.246201755675381,0.291985700849936
0.26068421189158,0.280815908289197
0.275166668107779,0.268822957863565
0.289649124323978,0.25600451707343
0.304131580540176,0.242357257566154
0.318614036756375,0.22787670599719
0.333096492972574,0.212557087332101
0.347578949188773,0.196391159693304
0.362061405404972,0.179370039514593
0.376543861621171,0.161483015389365
0.39102631783737,0.142717348577506
0.405508774053569,0.123058057660059
0.419991230269767,0.102487684285193
0.434473686485966,0.0809860363137104
0.448956142702165,0.0585299039208598
0.463438598918364,0.0350938955574678
0.477921055134563,0.0106940712626196
0.492403511350762,-0.0145970714351363
0.506885967566961,-0.0407035950961352
0.52136842378316,-0.0675493446667821
0.535850879999358,-0.0950572419193706
0.550333336215557,-0.123148522757065
0.564815792431756,-0.151741923179528
0.579298248647955,-0.180752820044488
0.593780704864154,-0.210092333587243
0.608263161080353,-0.23966640008641
0.622745617296552,-0.269374825199593
0.637228073512751,-0.299110331443899
0.651710529728949,-0.328757617163822
0.666192985945148,-0.358192449197602
0.680675442161347,-0.387280817372145
0.695157898377546,-0.415882957636481
0.709640354593745,-0.443920924052994
0.724122810809944,-0.471367402208527
0.738605267026143,-0.498194147704206
0.753087723242342,-0.524370698564954
0.76757017945854,-0.549864487823806
0.782052635674739,-0.57464096934617
0.796535091890938,-0.598663760019268
0.811017548107137,-0.621894801383001
0.825500004323336,-0.644294543674997
0.839982460539535,-0.66582215507548
0.854464916755734,-0.686435758636149
0.868947372971933,-0.706092698930721
0.883429829188131,-0.724749839844159
0.89791228540433,-0.742363894099631
0.912394741620529,-0.758891784092484
0.926877197836728,-0.77429103235879
0.941359654052927,-0.788520178570248
0.955842110269126,-0.801539218358352
0.970324566485325,-0.813310057594648
0.984807022701524,-0.82379697408268
0.999289478917723,-0.832967077065307
1.01377193513392,-0.840790753649104
1.02825439135012,-0.847242090331232
1.04273684756632,-0.852321212299774
1.05721930378252,-0.856152047551177
1.07170175999872,-0.858904408832844
1.08618421621492,-0.860752894548603
1.10066667243111,-0.861875480538012
1.11514912864731,-0.862452347707681
1.12963158486351,-0.8626649469411
1.14411404107971,NaN
